material_a,material_b,ground_truth,reason,critical_conflict,category
CPI-FST-18464,CPI-B-4DFA576B,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FST
NEC-GSK-93073,NEC-B-99E7CA54,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-GSK
AHM-BRG-87402,AHM-B-C26E1403,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
CPI-VLV-80544,CPI-B-4ABA940E,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-VLV
NEC-CFL-38701,NEC-B-35C6CD6A,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
BUS-PPE-89516,BUS-B-AEB2F869,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
AHM-VLV-34555,AHM-B-68062989,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
BUS-BRG-72874,BUS-B-F81F4A11,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-BRG
BUS-VLV-82782,BUS-B-501649E0,RELATED,"Same category/mfg, different size/specs",NONE,CAT-VLV
GME-PMP-55657,GME-B-EBB39CF5,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-PMP
AHM-FST-69831,AHM-B-7A052478,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FST
GME-VLV-81522,GME-B-473A33EE,NOT_EQUIVALENT,"Same category, critical attribute conflict",end_connection,CAT-VLV
GME-PPE-33389,GME-B-D1EDF620,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
BUS-LUB-32705,BUS-B-20C5416A,RELATED,"Same category/mfg, different size/specs",NONE,CAT-LUB
GME-PMP-86963,GME-B-76EFE8D5,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
CPI-BRG-46174,CPI-B-958F9953,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-PMP-17713,CPI-B-82BAE8BF,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
AHM-BRG-19033,AHM-B-CBA42A73,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-BRG-76480,GME-B-50A7257B,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
AHM-GSK-40086,AHM-B-84BB6CA5,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-GSK
NEC-FLG-55938,NEC-B-86E394EA,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
NEC-FST-27243,NEC-B-407C4D0E,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FST
NEC-CBL-63514,NEC-B-753C5936,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-CBL
NEC-BRG-79532,NEC-B-8603C36B,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-FST-66829,AHM-B-08C4D83F,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FST
AHM-MTR-52109,AHM-B-3719B117,RELATED,"Same category/mfg, different size/specs",NONE,CAT-MTR
CPI-DUP-18771,CPI-B-FB7B70AC,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-BRG
GME-DUP-53315,GME-B-C3498631,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
CPI-FLG-18432,CPI-B-F6E0807E,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FLG
BUS-LUB-25468,BUS-B-6FC88DAA,RELATED,"Same category/mfg, different size/specs",NONE,CAT-LUB
AHM-VLV-56031,AHM-B-E234DEDA,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-VLV
NEC-DUP-64502,NEC-B-7AA90252,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-LUB
NEC-ELC-43880,NEC-B-113CCCC6,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-ELC
GME-DUP-60324,GME-B-B07AAEEE,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-ELC-34113,BUS-B-92C77D5C,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
GME-INS-63271,GME-B-D68DD706,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
NEC-INS-98550,NEC-B-85F31082,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
NEC-DUP-66478,NEC-B-215FE0CB,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-DUP-60597,CPI-B-169E17F3,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
NEC-DUP-15693,NEC-B-E51A76A4,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PPE
BUS-VLV-76357,BUS-B-036C53FE,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
AHM-ELC-15881,AHM-B-319550C9,RELATED,"Same category/mfg, different size/specs",NONE,CAT-ELC
AHM-BRG-25412,AHM-B-7321CDA3,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-FST-29168,BUS-B-94039AAF,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
AHM-DUP-15426,AHM-B-410145E1,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-DUP-65932,GME-B-46BF4255,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-CBL
BUS-FLG-54987,BUS-B-99A262FB,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FLG
AHM-DUP-26682,AHM-B-121F5C97,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
BUS-INS-97422,BUS-B-9E12F12C,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
CPI-ELC-15999,CPI-B-E5E2A842,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
GME-VLV-79245,GME-B-F24C71F2,RELATED,"Same category/mfg, different size/specs",NONE,CAT-VLV
BUS-DUP-78213,BUS-B-9AC53059,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-INS
GME-DUP-18001,GME-B-2C866027,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
GME-DUP-84809,GME-B-668D0280,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
GME-DUP-89345,GME-B-0F5B864B,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-GSK-58422,AHM-B-1BB8F172,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
GME-BRG-88600,GME-B-03EA46D4,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-DUP-15902,CPI-B-20D40BB5,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-DUP-66744,GME-B-5D533E03,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-DUP-92724,BUS-B-7C130F89,NOT_EQUIVALENT,"Same category, critical attribute conflict",body_material,CAT-VLV
NEC-DUP-63300,NEC-B-C899CA05,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-FLG-43673,BUS-B-9818B2D4,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
GME-INS-79176,GME-B-3D4C4E38,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
AHM-INS-26399,AHM-B-24A628C8,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-INS
AHM-BRG-91814,AHM-B-6C38E4F7,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-DUP-64237,CPI-B-36D204FE,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-BRG-83360,AHM-B-B50D3D96,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
NEC-PIP-63600,NEC-B-F84946E7,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
BUS-DUP-94354,BUS-B-3F554C79,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FST
GME-LUB-73286,GME-B-F8CE0A5E,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-LUB
BUS-MTR-71371,BUS-B-BD39D84D,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-MTR
BUS-DUP-39771,BUS-B-3DB0561B,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
NEC-VLV-81008,NEC-B-4E6217F7,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
NEC-FST-87753,NEC-B-47E4B3D1,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
CPI-INS-43899,CPI-B-2C22C798,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-INS
NEC-BRG-80140,NEC-B-E4CD9624,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-PMP-54930,NEC-B-41801435,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
CPI-GSK-35105,CPI-B-C782C9CD,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
NEC-PIP-52716,NEC-B-E3A2F67D,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PIP
GME-DUP-80148,GME-B-B85A2CCF,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
AHM-CFL-27125,AHM-B-DEFE145C,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-ELC
CPI-PIP-57714,CPI-B-79BE8B24,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PIP
CPI-BRG-76612,CPI-B-CA897EAF,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-VLV-50846,AHM-B-D1938F2F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-VLV
AHM-PIP-95885,AHM-B-47F5EC5E,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
AHM-BRG-90822,AHM-B-13B36254,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-VLV-60012,AHM-B-062CC2B5,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-VLV
BUS-BRG-90591,BUS-B-ABBB609E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-PPE-25802,AHM-B-CDBD60CF,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PPE
GME-DUP-95618,GME-B-6228997F,NOT_EQUIVALENT,"Same category, critical attribute conflict",frequency,CAT-MTR
BUS-BRG-45236,BUS-B-703C2578,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-GSK-22903,CPI-B-FD8311A9,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
BUS-CBL-82781,BUS-B-B58C65A6,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-CBL
CPI-BRG-76491,CPI-B-2B9879FA,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-DUP-78353,NEC-B-4A3D3392,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
BUS-DUP-13061,BUS-B-533042F6,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
NEC-FLG-90754,NEC-B-427452B3,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
BUS-GSK-74312,BUS-B-F2F21FF7,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
AHM-VLV-42218,AHM-B-2579281D,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-VLV
NEC-FST-42546,NEC-B-14E89A45,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FST
AHM-PPE-47305,AHM-B-199BB0C1,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
AHM-BRG-36740,AHM-B-44255D58,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-ELC-83256,CPI-B-BA9D7108,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
GME-GSK-42947,GME-B-97062809,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
CPI-CBL-96974,CPI-B-6F3BBB4F,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-CBL
BUS-BRG-78597,BUS-B-14B1E8ED,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-DUP-53038,GME-B-33322562,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-BRG
AHM-BRG-39514,AHM-B-5F561AEE,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-INS-15995,NEC-B-90B6FD44,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
AHM-PIP-63540,AHM-B-3DD104C4,NOT_EQUIVALENT,"Same category, critical attribute conflict",schedule,CAT-PIP
NEC-GSK-65892,NEC-B-CE776005,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-GSK
GME-PMP-74734,GME-B-37676957,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
CPI-FST-76851,CPI-B-596E2B0C,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
BUS-INS-83251,BUS-B-139E18BC,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
AHM-CFL-99289,AHM-B-9991A806,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-CBL-73010,CPI-B-9B96E1C8,RELATED,"Same category/mfg, different size/specs",NONE,CAT-CBL
BUS-PIP-18193,BUS-B-0F973636,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
GME-FST-57801,GME-B-73318243,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FST
BUS-FLG-65807,BUS-B-A650D17A,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FLG
BUS-CFL-19122,BUS-B-3B94792D,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-ELC
CPI-INS-27092,CPI-B-368C0CC9,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-INS
GME-DUP-63945,GME-B-6E752DBB,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
AHM-BRG-67706,AHM-B-D14B035E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-DUP-28952,CPI-B-5E2693FF,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-VLV
AHM-FST-86934,AHM-B-DDE5B07A,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
GME-CBL-76997,GME-B-C356CC54,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-CBL
BUS-INS-18985,BUS-B-4443115D,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
GME-BRG-82770,GME-B-1E55CDF9,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
NEC-BRG-55593,NEC-B-5C9D451F,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-MTR-48256,BUS-B-1E5AA21A,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-MTR
AHM-CBL-99990,AHM-B-1157160E,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-CBL
BUS-DUP-60121,BUS-B-F588D8A9,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
GME-FST-80692,GME-B-D002DD6F,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FST
NEC-BRG-71002,NEC-B-CB07251F,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-GSK-85747,BUS-B-C62375E0,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
CPI-DUP-42614,CPI-B-E1E4E36A,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-FST-98079,GME-B-CC6AB1C3,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
AHM-DUP-47186,AHM-B-A2E6D180,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-DUP-17875,CPI-B-755E2721,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
NEC-DUP-56419,NEC-B-B84C7497,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-MTR
CPI-CFL-78641,CPI-B-08EB2643,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-MTR
AHM-DUP-73000,AHM-B-2A43FF72,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
BUS-MTR-42886,BUS-B-AD8D3F78,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-MTR
GME-ELC-81095,GME-B-2A80E0A3,RELATED,"Same category/mfg, different size/specs",NONE,CAT-ELC
CPI-BRG-63909,CPI-B-60F30E39,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-BRG
AHM-FLG-62261,AHM-B-D4D6B59C,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
NEC-BRG-48799,NEC-B-715D6C58,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-BRG-25008,CPI-B-D8E03DAA,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-BRG
GME-CFL-33350,GME-B-A249240D,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
BUS-VLV-87122,BUS-B-1E620E61,RELATED,"Same category/mfg, different size/specs",NONE,CAT-VLV
NEC-PIP-64637,NEC-B-02845133,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
AHM-LUB-43260,AHM-B-99EC8ACA,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-LUB
NEC-PPE-57251,NEC-B-511E2327,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
NEC-MTR-25527,NEC-B-22B301ED,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-MTR
CPI-DUP-83181,CPI-B-FE293618,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-LUB
AHM-BRG-62279,AHM-B-B89A9800,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-PPE-79818,NEC-B-77FE67BE,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
GME-CBL-18237,GME-B-350CD28D,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
BUS-MTR-48778,BUS-B-AA6174EB,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-MTR
BUS-DUP-23062,BUS-B-CAD3BB5C,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-GSK
GME-ELC-67083,GME-B-8D2E2C1F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
AHM-BRG-64999,AHM-B-38B3C849,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-MTR-33816,BUS-B-90D8604D,NOT_EQUIVALENT,"Same category, critical attribute conflict",frequency,CAT-MTR
AHM-PPE-38565,AHM-B-A066C2EF,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-PPE
CPI-MTR-59890,CPI-B-924166C5,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-MTR
CPI-CBL-85073,CPI-B-895F4299,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
AHM-DUP-13682,AHM-B-DF99F476,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-VLV
BUS-INS-11649,BUS-B-E8B53AE2,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
GME-BRG-58628,GME-B-3066FD26,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-FST-35495,AHM-B-AA4DED28,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
NEC-BRG-14513,NEC-B-D4EC9A29,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-VLV-27115,AHM-B-68C6652D,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-VLV
NEC-GSK-36441,NEC-B-E834AF1E,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-GSK
